epoch:0, Training MAE:1.118(eV), Training Loss:0.541093, Test MAE:0.533(eV), Test Loss:0.373088, Learning Rate:0.000999973
epoch:1, Training MAE:0.666(eV), Training Loss:0.432190, Test MAE:0.926(eV), Test Loss:1.364421, Learning Rate:0.00099989
epoch:2, Training MAE:0.510(eV), Training Loss:0.191630, Test MAE:0.436(eV), Test Loss:0.305542, Learning Rate:0.000999753
epoch:3, Training MAE:0.457(eV), Training Loss:0.153004, Test MAE:1.089(eV), Test Loss:0.980864, Learning Rate:0.000999561
epoch:4, Training MAE:0.433(eV), Training Loss:0.226046, Test MAE:0.706(eV), Test Loss:0.474509, Learning Rate:0.000999315
epoch:5, Training MAE:0.405(eV), Training Loss:0.224306, Test MAE:0.413(eV), Test Loss:0.251041, Learning Rate:0.000999013
epoch:6, Training MAE:0.385(eV), Training Loss:0.113401, Test MAE:0.357(eV), Test Loss:0.249423, Learning Rate:0.000998657
epoch:7, Training MAE:0.361(eV), Training Loss:0.165262, Test MAE:2.401(eV), Test Loss:8.318970, Learning Rate:0.000998246
epoch:8, Training MAE:0.332(eV), Training Loss:0.159883, Test MAE:1.478(eV), Test Loss:2.650736, Learning Rate:0.000997781
epoch:9, Training MAE:0.314(eV), Training Loss:0.577043, Test MAE:6.705(eV), Test Loss:47.015820, Learning Rate:0.000997261
epoch:10, Training MAE:0.291(eV), Training Loss:0.136913, Test MAE:4.175(eV), Test Loss:21.699499, Learning Rate:0.000996686
epoch:11, Training MAE:0.278(eV), Training Loss:0.157225, Test MAE:5.135(eV), Test Loss:26.821487, Learning Rate:0.000996057
epoch:12, Training MAE:0.265(eV), Training Loss:0.061783, Test MAE:5.832(eV), Test Loss:36.251595, Learning Rate:0.000995374
epoch:13, Training MAE:0.241(eV), Training Loss:0.152146, Test MAE:4.931(eV), Test Loss:23.412643, Learning Rate:0.000994636
epoch:14, Training MAE:0.234(eV), Training Loss:0.124551, Test MAE:2.716(eV), Test Loss:9.513767, Learning Rate:0.000993844
epoch:15, Training MAE:0.224(eV), Training Loss:0.052746, Test MAE:2.344(eV), Test Loss:9.834900, Learning Rate:0.000992998
epoch:16, Training MAE:0.210(eV), Training Loss:0.069872, Test MAE:0.570(eV), Test Loss:0.398857, Learning Rate:0.000992098
epoch:17, Training MAE:0.202(eV), Training Loss:0.069721, Test MAE:0.614(eV), Test Loss:0.553669, Learning Rate:0.000991144
epoch:18, Training MAE:0.199(eV), Training Loss:0.040423, Test MAE:1.992(eV), Test Loss:5.488677, Learning Rate:0.000990136
epoch:19, Training MAE:0.193(eV), Training Loss:0.061959, Test MAE:8.052(eV), Test Loss:76.129837, Learning Rate:0.000989074
epoch:20, Training MAE:0.192(eV), Training Loss:0.049934, Test MAE:4.137(eV), Test Loss:24.562077, Learning Rate:0.000987958
epoch:21, Training MAE:0.179(eV), Training Loss:0.024756, Test MAE:1.786(eV), Test Loss:4.462163, Learning Rate:0.000986789
epoch:22, Training MAE:0.174(eV), Training Loss:0.065547, Test MAE:7.526(eV), Test Loss:60.666252, Learning Rate:0.000985567
epoch:23, Training MAE:0.169(eV), Training Loss:0.082223, Test MAE:2.792(eV), Test Loss:8.680695, Learning Rate:0.000984292
epoch:24, Training MAE:0.168(eV), Training Loss:0.068319, Test MAE:9.333(eV), Test Loss:99.679680, Learning Rate:0.000982963
epoch:25, Training MAE:0.164(eV), Training Loss:0.060182, Test MAE:1.634(eV), Test Loss:3.697487, Learning Rate:0.000981581
epoch:26, Training MAE:0.162(eV), Training Loss:0.050691, Test MAE:5.438(eV), Test Loss:41.743690, Learning Rate:0.000980147
epoch:27, Training MAE:0.159(eV), Training Loss:0.031056, Test MAE:1.162(eV), Test Loss:1.288363, Learning Rate:0.00097866
epoch:28, Training MAE:0.154(eV), Training Loss:0.063614, Test MAE:3.621(eV), Test Loss:19.989355, Learning Rate:0.00097712
epoch:29, Training MAE:0.155(eV), Training Loss:0.051122, Test MAE:5.682(eV), Test Loss:31.602499, Learning Rate:0.000975528
epoch:30, Training MAE:0.146(eV), Training Loss:0.026005, Test MAE:1.524(eV), Test Loss:3.242289, Learning Rate:0.000973884
epoch:31, Training MAE:0.147(eV), Training Loss:0.024377, Test MAE:15.571(eV), Test Loss:295.743408, Learning Rate:0.000972188
epoch:32, Training MAE:0.146(eV), Training Loss:0.030834, Test MAE:1.137(eV), Test Loss:1.799672, Learning Rate:0.00097044
epoch:33, Training MAE:0.140(eV), Training Loss:0.028001, Test MAE:2.231(eV), Test Loss:8.647129, Learning Rate:0.000968641
epoch:34, Training MAE:0.142(eV), Training Loss:0.081722, Test MAE:14.996(eV), Test Loss:269.343597, Learning Rate:0.00096679
epoch:35, Training MAE:0.139(eV), Training Loss:0.023096, Test MAE:9.140(eV), Test Loss:101.137253, Learning Rate:0.000964888
epoch:36, Training MAE:0.141(eV), Training Loss:0.019411, Test MAE:1.459(eV), Test Loss:2.135030, Learning Rate:0.000962935
